"A"|"SISTEMA DIGESTIVO Y METABOLISMO"
"B"|"SANGRE Y ORGANOS HEMATOPOYETICOS"
"C"|"SISTEMA CARDIOVASCULAR"
"D"|"MEDICAMENTOS DERMATOLOGICOS"
"E"|"APARATO GENITOURINARIO"
"F"|"APARATO LOCOMOTOR"
"G"|"APARATO GENITOURINARIO Y HORMONAS SEXUALES"
"H"|"PREPARADOS HORMONALES SISTEMICOS, EXCLUYENDO HORMONAS SEXUALES"
"J"|"ANTIINFECCIOSOS EN GENERAL PARA USO SISTEMICO"
"K"|"INMUNIZACION PASIVA Y ACTIVA"
"L"|"AGENTES ANTINEOPLASICOS E INMUNOMODULADORES"
"M"|"SISTEMA MUSCULOESQUELETICO"
"N"|"SISTEMA NERVIOSO"
"O"|"OTROS"
"P"|"PRODUCTOS ANTIPARASITARIOS, INSECTICIDAS Y REPELENTES"
"Q"|"PRUEBAS DIAGNOSTICAS"
"R"|"SISTEMA RESPIRATORIO"
"S"|"ORGANOS DE LOS SENTIDOS"
"T"|"TESTS DE DIAGNOSTICOS"
"U"|"VITAMINAS Y NUTRIENTES"
"V"|"VARIOS"
